편강율,트리트먼트,편강율 약산성 두피 트리트먼트 500ml,500,34000,멘톨,프로필렌글라이콜 판테놀 디판테놀 부틸렌글라이콜 글리세린,쿨링효과탈모,수렴 및 진정쿨링 효과,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가보습력 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/y3fdli5m/79d3d88248f54048bea5677bbd18fee8.jpg
마녀공장,트리트먼트,마녀공장 바이옥실 안티 헤어로스 트리트먼트 200ml,200,28000,멘톨,프로필렌글라이콜 부틸렌글라이콜 판테놀 디판테놀 글리세린 토코페롤 비타민E,쿨링효과탈모탈모,수렴 및 진정쿨링 효과,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가보습력 증가부드러운 모발,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/2e50/fc93a2f79b561d73f0ac7a79bac1fed2bd76a98ab991a25efa87a1c5bebe.jpg
이브로쉐,트리트먼트,이브로쉐 리프레쉬 헤어식초 [모링가] 150ml,150,11900,,,건성,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/97b5/05001cead202d9ebc24779135037e919766ed8e855c9186592e2cd2fd601.jpg
헤드스파7,트리트먼트,헤드스파7 트리트먼트 파란눈 200ml,200,30000,멘톨 살리실릭애씨드 살리실산 감초뿌리추출물 레몬추출물,프로필렌글라이콜 판테놀 디판테놀 부틸렌글라이콜 글리세린,쿨링효과탈모,수렴 및 진정쿨링 효과피지 조절살균 및 향염,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가보습력 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/1702452738113925-d182136e-e881-45de-93d0-c7db3acad3d3.jpg
비욘드,트리트먼트,비욘드 프로페셔널 디펜스 트리트먼트 500ml,500,31000,,글리세린 판테놀 디판테놀 부틸렌글라이콜 토코페롤 비타민E,건성탈모,,보습력 증가컨디셔닝피부 보습효과탈모량 감소모발 두께 증가강력보습부드러운 모발,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/52b4/cbcd5a0eb3794cee705255c1580e5ad911df0a0d7f1d4ca269b5ff5fa454.jpg
에이로브,트리트먼트,에이르보 10 블룸오브샤론 리페어 헤어마스크 200ml,200,30000,홍차추출물 백차추출물,부틸렌글라이콜 판테놀 디판테놀 아보카도오일,건성탈모민감성,수렴 및 진정,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가수분 증발 방지,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/44c6/792ac725ae6b7a66ad397757cd5a4c6f1c3ea96820c43d5cd6ffbb44d138.jpg
TS,샴푸,TS 골드플러스 TS 샴푸 500ml,500,12850,살리실산 녹차추출물 멘톨,글리세린 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/7041/0c608b34e23aa0d789415577443b182e14d1234c257927901ee6df32afb2.jpg
TS,샴푸,TS 올뉴 플러스 TS 샴푸 500ml,500,13980,살리실산 녹차추출물,글리세린 프로필렌글라이콜 부틸렌글라이콜 판테놀,지성탈모,피지 조절수렴 및 진정비듬 제거,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/02e5/9a4a25ccdf40f37a44172e9f33b98587f7c6e17c053a065aea49ff263b21.jpg
TS,샴푸,TS 뉴 프리미엄 TS 샴푸 펌프형 500ml,500,13950,글리세린 부틸렌글라이콜 판테놀,글리세린 부틸렌글라이콜 판테놀,탈모약산성,,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/1306003135878714-67745f54-810f-40bf-b977-c6010a95b58f.jpg
TS,샴푸,TS 올뉴 TS 샴푸 500ml,500,14450,살리실산,판테놀,지성탈모,피지 조절,컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/8906/d89d7390cf362bda96bfcdc07fbe6ee91b38cf5fc7c304ec469f5a7d8d36.JPG
TS,샴푸,TS 블랙 에디션샴푸 500ml,500,55890,,콩추출물,탈모,,탈모 억제 효과,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/8a63/e34d587c65da51656eb7c1248bc05486485ac7ec7c871a2eb2903dd8c495.jpg
TS,샴푸,TS 비디샴푸 500ml,500,11220,살리실산 녹차추출물 멘톨,글리세린 프로필렌글라이콜 부틸렌글라이콜 판테놀,지성쿨링효과탈모약산성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/726955351271313-ce364efd-3702-4300-ad1f-9a0f1162988c.jpg
